source_table_index,S. No.,Recognition Number,Company Name,Company Address,Name & Address of the Company,Location of recognized In-House R&D Units,Valid Upto
55,429.,TU/IV-RD/2348,IndianImmunologicals Ltd.,"RoadNo.44,Jubilee Hills, Hyderabad - 500 033, Telangana","IndianImmunologicals Ltd. RoadNo.44,Jubilee Hills, Hyderabad - 500 033, Telangana","Rakshapuram, Gachibowli, Hyderabad, Telangana",31.03.2027
56,435.,TU/IV-RD/2358,ValagroBiosciences Pvt.,"Ltd.“The Platina”, A-904, 9thFloor, Gachibowli, SerilingampallyMandal, RangaReddyDist., Hyderabad - 500032,(Telangana)","ValagroBiosciences Pvt. Ltd.“The Platina”, A-904, 9thFloor, Gachibowli, SerilingampallyMandal, RangaReddyDist., Hyderabad - 500032,(Telangana)","Survey No. 1, 2 and 3, Phase-II, Pashamylaram (V), Patancheru (M), Medak District, (Telangana)",31.03.2028
56,438.,TU/IV-RD/2366,BalajiAminesLtd.,"3rdFloor,KPRHouse,S.P. Road, Hyderabad - 500 003, (Telangana)","BalajiAminesLtd.3rdFloor,KPRHouse,S.P. Road, Hyderabad - 500 003, (Telangana)","Plot No. E7 & E8, MIDCChincholi,Tq.Mohal, Solapur Dist. (Maharashtra)",31.03.2028
57,444.,TU/IV-RD/2384,AstraMicrowave Products Ltd.,"Astra Towers, Sy. No.12(P), Kothaguda(Post), Kondapur, Hitech City, Hyderabad- 500 084 (Telangana)","AstraMicrowave Products Ltd. Astra Towers, Sy. No.12(P), Kothaguda(Post), Kondapur, Hitech City, Hyderabad- 500 084 (Telangana)","i) Hardware Technology Park, Survey No.1/1, Raviryalla Vill., Sri Sailam Highway Road, RR Dist., (Telangana)ii)Plot No. 51-P, Bengaluru Aerospace Park, Survey Nos. Parts of 36 to 40, Dummanahalli (Village), Jala Hobli, YelahankaTaluk, Bengaluru North, (Karnataka)",31.03.2028
57,446.,TU/IV-RD/2391,VEM Technologies Pvt.,"Ltd. #8-48/1, Bachupally Indl. Area, Bachupally Village and Mandal, MedchalDistrict, Hyderabad- 500 090 (Telangana)","VEM Technologies Pvt. Ltd. #8-48/1, Bachupally Indl. Area, Bachupally Village and Mandal, MedchalDistrict, Hyderabad- 500 090 (Telangana)","#8-48/1, Bachupally Indl. Area, Bachupally Village and Mandal, Medchal District,Hyderabad (Telangana)",31.03.2027
60,461.,TU/IV-RD/2441,Deccan Enterprises Pvt.,"Ltd Plot No. G1-G7 TSIIC General Park, Sultanpur, Sangareddy, Hyderabad-502 319 (Telangana)","Deccan Enterprises Pvt. Ltd Plot No. G1-G7 TSIIC General Park, Sultanpur, Sangareddy, Hyderabad-502 319 (Telangana)","Plot No. G1-G7 TSIICGeneral Park, Sultanpur, Sangareddy, Hyderabad (Telangana)",31.03.2028
60,462.,TU/IV-RD/2443,JK Agri Genetics Ltd.,"1-10-177, 4th Floor, Varun Towers, Begumpet Hyderabad - 500 016, (Telangana)","JK Agri Genetics Ltd. 1-10-177, 4th Floor, Varun Towers, Begumpet Hyderabad - 500 016, (Telangana)","(i) Survey No. 870/A/1, 871/A1/1,871/A1/2/1,872/A and 873/A1, PamulaparthyVillage,SiddipetDistrict, (Telangana) ii) Survey No. 842/E1, 864/A, 865/1,866/A, 869/1, 870/A/1,871/A2/1/1 and 942/A1, PamulaparthyVillage,SiddipetDistrict, (Telangana)",31.03.2026
60,463.,TU/IV-RD/2447,Nichino India Pvt.,"Ltd.A-24/25,A.P.I.E.,Balanagar Hyderabad –500 037, (Telangana)","Nichino India Pvt. Ltd.A-24/25,A.P.I.E.,Balanagar Hyderabad –500 037, (Telangana)","A-24/25,A.P.I.E.,Balanagar,Hyderabad, (Telangana)",31.03.2028
61,470.,TU/IV-RD/2463,Kanchan Ganga Seed Company Pvt.,"Ltd. 6-3-1085/D/202,Dega Towers, Raj Bhavan Road,Somajiguda,Hyderabad- 500 082 (Telangana)","Kanchan Ganga Seed Company Pvt. Ltd. 6-3-1085/D/202,Dega Towers, Raj Bhavan Road,Somajiguda,Hyderabad- 500 082 (Telangana)","Bakaram Village, Moinabad Mandal, Amdapur Post, Ranga Reddy District, (Telangana)",31.03.2027
61,474.,TU/IV-RD/2472,Medha Servo Drives Pvt.,"Ltd. 2-3-2/A, Behind Mint Compound, Cherlapally, R R Dist. Hyderabad-500 051,(Telangana)","Medha Servo Drives Pvt. Ltd. 2-3-2/A, Behind Mint Compound, Cherlapally, R R Dist. Hyderabad-500 051,(Telangana)","(i) 2-3-2/A, Behind Mint Compound, Cherlapally, Ranga Reddy Dist., Telangana (ii) Plot No. 16F, 16G, 16H, Road No. 07,I.D.A.Nacharam, Hyderabad, (Telangana)",31.03.2028
61,475.,TU/IV-RD/2477,SMS Pharmaceuticals Ltd.,"Plot No. 72, H. No. 8-2-334/3&4, Road No. 5,Opp. SBI Executive Enclave, Banjara Hills, Hyderabad - 500 034,(Telangana)","SMS Pharmaceuticals Ltd. Plot No. 72, H. No. 8-2-334/3&4, Road No. 5,Opp. SBI Executive Enclave, Banjara Hills, Hyderabad - 500 034,(Telangana)","Sy. No. 186, 189 & 190,Gagillapur Village, , Dundigal Gandimaisamma (M), Medchal-Malkajgiri Dist. (Telangana)",31.03.2028
63,491.,TU/IV-RD/2515,Bhagiradha Chemicals & Industries Ltd.,"Plot No. 3, Sagar Society, Road No.2, Banjara Hills, Hyderabad - 500 034(Telangana)","Bhagiradha Chemicals & Industries Ltd. Plot No. 3, Sagar Society, Road No.2, Banjara Hills, Hyderabad - 500 034(Telangana)","Cheruvukommupalem, YerajarlaRoad,Ongole Mandal,PrakasamDistt (Andhra Pradesh)",31.03.2026
65,502.,TU/IV-RD/2535,Bioserve Biotechnologies(India) Pvt.,"Ltd.D4-D7, 1st Floor,IndustrialEstate, Moula Ali, Hyderabad -500 040, Telangana","Bioserve Biotechnologies(India) Pvt.Ltd.D4-D7, 1st Floor,IndustrialEstate, Moula Ali, Hyderabad -500 040, Telangana","Pinnacle Towers, 1st Floor, Plot No. 9/7/A&B, Road No.6IDA,Nacharam,Hyderabad,Medchal-MalkajgiriDistrict, Telangana",31.03.2026
66,515.,TU/IV-RD/2566,Nosch Labs Pvt.,"Ltd. Flat No.404 to 406, 'Vijay SaiTowers'Opp. BJP Office, Kukatpally,Hyderabad- 500 072, Telangana","Nosch Labs Pvt.Ltd. Flat No.404 to 406, 'Vijay SaiTowers'Opp. BJP Office, Kukatpally,Hyderabad- 500 072, Telangana","(i)Sy.No.14,IDAGoddapotharam(V), Kazipally,Jinnaram (Mandal), Sanga Reddy (Dist.), Telangana (ii) Sy. No. 332,333 & 335,Veliminedu Village, Chityal Mandal, Nalgonda Dist.,Telangana",31.03.2026
66,517.,TU/IV-RD/2572,Unique Biotech Ltd.,"Plot No. 2, Phase-II, M N Park,Kolthur,Shameerpet Mandal, Medchal-Malkajgiri Dist.Hyderabad-500 101, Telangana","Unique Biotech Ltd. Plot No. 2, Phase-II, M N Park,Kolthur,Shameerpet Mandal, Medchal-Malkajgiri Dist.Hyderabad-500 101, Telangana","Plot No. 2, Phase-II, M N Park, Kolthur, Shameerpet Mandal, Medchal-Malkajgiri Dist. Hyderabad, Telangana",31.03.2027
67,519.,TU/IV-RD/2582,Nektar Therapeutics (India) Pvt.,"Ltd. Survey No.101/02,Lalgadi Malakpet,Genome Valley,Shameerpet Mandal,Medchal Dist., Telangana – 500 101 (Telangana)","Nektar Therapeutics (India) Pvt. Ltd. Survey No.101/02,Lalgadi Malakpet,Genome Valley,Shameerpet Mandal,Medchal Dist., Telangana – 500 101 (Telangana)","Survey No. 101/02, Lalgadi Malakpet, Genome Valley, ShameerpetMandal, Medchal Dist., Telangana",31.03.2025
68,529.,TU/IV-RD/2615,GR Intrachem Ltd.,"3-6-29/1L.B.Nagar,Hyderabad-500074, Telangana","GR Intrachem Ltd. 3-6-29/1L.B.Nagar,Hyderabad-500074, Telangana","3-6-29/1,L.B.Nagar,Hyderabad, Telangana",31.03.2027
68,531.,TU/IV-RD/2627,Asha Agrisciences Pvt.,"Ltd., (Formerly Known as . Yaaganti Seeds Pvt. Ltd.) Sy. No. 69, Second Floor,Block-B, Kandlakoya, Gundlapochampally Municipality,Medchal, Madal, Medchal-MalkajgiriDistrict–500100 (Telangana)","Asha Agrisciences Pvt. Ltd., (Formerly Known as . Yaaganti Seeds Pvt. Ltd.) Sy. No. 69, Second Floor,Block-B, Kandlakoya, Gundlapochampally Municipality,Medchal, Madal, Medchal-MalkajgiriDistrict–500100 (Telangana)","R&D Farm Sy. No. 336-339,Rallapur Vill., Medchal Mandal, Medchal-Malkajgiri District, (Telangana)",31.03.2028
